REGIONAL_OFFICE_NAME,PRACTICE_NAME,PRACTICE_CODE,POSTCODE,QUANTITY,ITEMS,TOTAL_QUANTITY,NIC,ACTUAL_COST,UNIDENTIFIED,ADQ_USAGE,FECHA,SUSTANCIA,PRESENTACION,REGION_NAME
NORTH EAST AND YORKSHIRE,BRANCH END SURGERY,A84047,NE43 7LL,30,1,30,78.48,73.0577,N,0.0,2021-01-01,Semaglutide,Semaglutide 7mg tablets,CUMBRIA & NORTH EAST STP
NORTH EAST AND YORKSHIRE,CORBRIDGE HEALTH CENTRE,A84018,NE45 5LG,1,1,1,73.25,68.17747,N,0.0,2021-01-01,Semaglutide,Semaglutide 0.5mg/0.37ml inj 1.5ml pf dispos dev,CUMBRIA & NORTH EAST STP
LONDON,WOODFIELD ROAD MEDICAL CENTRE,E87741,W9 3XZ,30,1,30,78.48,73.0577,N,0.0,2021-01-01,Semaglutide,Semaglutide 3mg tablets,NW LONDON HEALTH & CARE PARTNERSHIP STP
EAST OF ENGLAND,DR SHARMA & PARTNERS,F81666,SS15 4EZ,1,1,1,73.25,68.18987,N,0.0,2021-01-01,Semaglutide,Ozempic 1mg/0.74ml inj 3ml pre-filled pens,MID AND SOUTH ESSEX STP
EAST OF ENGLAND,HORNDON-ON-THE-HILL SURGERY,F81198,SS17 8LB,1,1,1,73.25,68.18987,N,0.0,2021-01-01,Semaglutide,Ozempic 1mg/0.74ml inj 3ml pre-filled pens,MID AND SOUTH ESSEX STP
NORTH WEST,SEAFORTH VILLAGE SURGERY,N84043,L21 3TA,4,1,4,293.0,272.7223,N,0.0,2021-01-01,Semaglutide,Semaglutide 0.25mg/0.19ml inj 1.5ml pf dispos dev,CHESHIRE & MERSEYSIDE STP
NORTH WEST,DINAS LANE MEDICAL CENTRE,N83014,L36 2NW,2,3,6,439.5,412.90205,N,0.0,2021-01-01,Semaglutide,Semaglutide 1mg/0.74ml inj 3ml pre-filled disposable device,CHESHIRE & MERSEYSIDE STP
NORTH WEST,AINSDALE MEDICAL CENTRE,N84012,PR8 3HW,2,1,2,146.5,136.36735,N,0.0,2021-01-01,Semaglutide,Semaglutide 1mg/0.74ml inj 3ml pre-filled disposable device,CHESHIRE & MERSEYSIDE STP
NORTH EAST AND YORKSHIRE,YORK MEDICAL GROUP,B82083,YO24 4HD,1,4,4,293.0,272.7595,N,0.0,2021-01-01,Semaglutide,Ozempic 1mg/0.74ml inj 3ml pre-filled pens,"HUMBER, COAST & VALE STP"
NORTH EAST AND YORKSHIRE,SWALLOWNEST HEALTH CENTRE,C87008,S26 4WD,1,2,2,146.5,136.37975,N,0.0,2021-01-01,Semaglutide,Ozempic 0.25mg/0.19ml inj 1.5ml pre-filled pens,SOUTH YORKSHIRE & BASSETLAW STP
