mes,sustancia,status,filas,detalle
202101,Semaglutide,ok,13722.0,
202101,Liraglutide,ok,16063.0,
202101,Dulaglutide,ok,15637.0,
202101,Exenatide,ok,4522.0,
202101,Lixisenatide,ok,1554.0,
202101,Tirzepatide,zero,,
202102,Semaglutide,ok,13893.0,
202102,Liraglutide,ok,15608.0,
202102,Dulaglutide,ok,15674.0,
202102,Exenatide,ok,4383.0,
202102,Lixisenatide,ok,1448.0,
202102,Tirzepatide,zero,,
202103,Semaglutide,ok,15575.0,
202103,Liraglutide,ok,16165.0,
202103,Dulaglutide,ok,16542.0,
202103,Exenatide,ok,4496.0,
202103,Lixisenatide,ok,1488.0,
202103,Tirzepatide,zero,,
202104,Semaglutide,ok,16111.0,
202104,Liraglutide,ok,15913.0,
202104,Dulaglutide,ok,16933.0,
202104,Exenatide,ok,4236.0,
202104,Lixisenatide,ok,1452.0,
202104,Tirzepatide,zero,,
202105,Semaglutide,ok,16637.0,
202105,Liraglutide,ok,15394.0,
202105,Dulaglutide,ok,17299.0,
202105,Exenatide,ok,4094.0,
202105,Lixisenatide,ok,1427.0,
202105,Tirzepatide,zero,,
202106,Semaglutide,ok,17848.0,
202106,Liraglutide,ok,15896.0,
202106,Dulaglutide,ok,18359.0,
202106,Exenatide,ok,4130.0,
202106,Lixisenatide,ok,1427.0,
202106,Tirzepatide,zero,,
202107,Semaglutide,ok,18701.0,
202107,Liraglutide,ok,15474.0,
202107,Dulaglutide,ok,19044.0,
202107,Exenatide,ok,4066.0,
202107,Lixisenatide,ok,1387.0,
202107,Tirzepatide,zero,,
202108,Semaglutide,ok,18800.0,
202108,Liraglutide,ok,14931.0,
202108,Dulaglutide,ok,19194.0,
202108,Exenatide,ok,3721.0,
202108,Lixisenatide,ok,1326.0,
202108,Tirzepatide,zero,,
202109,Semaglutide,ok,19655.0,
202109,Liraglutide,ok,15083.0,
202109,Dulaglutide,ok,19979.0,
202109,Exenatide,ok,3840.0,
202109,Lixisenatide,ok,1304.0,
202109,Tirzepatide,zero,,
202110,Semaglutide,ok,19896.0,
202110,Liraglutide,ok,14719.0,
202110,Dulaglutide,ok,20104.0,
202110,Exenatide,ok,3559.0,
202110,Lixisenatide,ok,1241.0,
202110,Tirzepatide,zero,,
202111,Semaglutide,ok,20999.0,
202111,Liraglutide,ok,14790.0,
202111,Dulaglutide,ok,21020.0,
202111,Exenatide,ok,3501.0,
202111,Lixisenatide,ok,1229.0,
202111,Tirzepatide,zero,,
202112,Semaglutide,ok,21798.0,
202112,Liraglutide,ok,14924.0,
202112,Dulaglutide,ok,21747.0,
202112,Exenatide,ok,3488.0,
202112,Lixisenatide,ok,1206.0,
202112,Tirzepatide,zero,,
202201,Semaglutide,ok,22039.0,
202201,Liraglutide,ok,14404.0,
202201,Dulaglutide,ok,21815.0,
202201,Exenatide,ok,3297.0,
202201,Lixisenatide,ok,1186.0,
202201,Tirzepatide,zero,,
202202,Semaglutide,ok,22494.0,
202202,Liraglutide,ok,13837.0,
202202,Dulaglutide,ok,21012.0,
202202,Exenatide,ok,3123.0,
202202,Lixisenatide,ok,1110.0,
202202,Tirzepatide,zero,,
202203,Semaglutide,ok,24790.0,
202203,Liraglutide,ok,14534.0,
202203,Dulaglutide,ok,21545.0,
202203,Exenatide,ok,3252.0,
202203,Lixisenatide,ok,1159.0,
202203,Tirzepatide,zero,,
202204,Semaglutide,ok,24683.0,
202204,Liraglutide,ok,14015.0,
202204,Dulaglutide,ok,23209.0,
202204,Exenatide,ok,3093.0,
202204,Lixisenatide,ok,1092.0,
202204,Tirzepatide,zero,,
202205,Semaglutide,ok,25764.0,
202205,Liraglutide,ok,14134.0,
202205,Dulaglutide,ok,23488.0,
202205,Exenatide,ok,3101.0,
202205,Lixisenatide,ok,1054.0,
202205,Tirzepatide,zero,,
202206,Semaglutide,ok,26223.0,
202206,Liraglutide,ok,13846.0,
202206,Dulaglutide,ok,23777.0,
202206,Exenatide,ok,2937.0,
202206,Lixisenatide,ok,991.0,
202206,Tirzepatide,zero,,
202207,Semaglutide,ok,26240.0,
202207,Liraglutide,ok,13650.0,
202207,Dulaglutide,ok,24310.0,
202207,Exenatide,ok,2865.0,
202207,Lixisenatide,ok,989.0,
202207,Tirzepatide,zero,,
202208,Semaglutide,ok,27724.0,
